id,name,processType,technology,geographicalLocation,dataAcquisition,status,source,sourceDatabase,referenceYear
PROC_MJF,Multi Jet Fusion,Manufacturing,powder-bed polymer AM,DE/EU candidate,reference/concept,candidate,,,
PROC_SLS,Selective Laser Sintering,Manufacturing,powder-bed polymer AM,DE/EU candidate,reference/concept,candidate,,,
PROC_FFF,Fused Filament Fabrication,Manufacturing,material extrusion,DE/EU candidate,reference/concept,candidate,,,
PROC_CNC,CNC milling,Manufacturing,subtractive machining,DE/EU candidate,reference/concept,candidate,,,
PROC_LASER,Laser cutting,Manufacturing,sheet cutting,DE/EU candidate,reference/concept,candidate,,,
PROC_BEND,Sheet-metal bending,Manufacturing,forming,DE/EU candidate,reference/concept,candidate,,,
PROC_SILCAST,Silicone casting,Manufacturing,elastomer casting,DE/EU candidate,reference/concept,candidate,,,
PROC_RUBBER,Elastomer molding,Manufacturing,rubber molding,DE/EU candidate,reference/concept,candidate,,,
PROC_OVERMOLD,Overmolding,Manufacturing,rigid-soft hybrid molding,DE/EU candidate,reference/concept,candidate,,,
PROC_SCREW,Screw fastening,Assembly,reversible joining,DE/EU candidate,reference/concept,candidate,,,
PROC_FINISH,Deburring / finishing,Postprocess,surface finishing,DE/EU candidate,reference/concept,candidate,,,
PROC_USE,Robot gripping operation,Use,pick-and-place,DE/EU candidate,reference/concept,candidate,,,
PROC_REPAIR,Replace jaw / pad,Service,maintenance,DE/EU candidate,reference/concept,candidate,,,
PROC_RECYCLE_POLY,Polymer recycling scenario,End of Life,material recovery,DE/EU candidate,reference/concept,candidate,,,
PROC_RECYCLE_METAL,Metal recycling scenario,End of Life,material recovery,DE/EU candidate,reference/concept,candidate,,,
PROC_ALU_EXTRUSION_EF,Aluminium profile (EN15804 A1-A3),RawMaterialProduction,Aluminum profiles are produced by an extrusion process. The starting material is aluminium billets (typically of cylindrical shape); which are pressed,RER,background LCI dataset (secondary data ILCD),reference,Sphera,Sphera Managed LCA Content (MLC),2024
PROC_ALU_EXTRUSION_IDEMAT,Aluminium extrusion profile; production mix; at plant; primary production; aluminium semi-finished extrusion product; including primary production; transformation and   recycling,RawMaterialProduction,Aluminium profiles are produced through the extrusion process. These profiles are produced from aluminium ingots called billets (usually cylinders) wh,RER,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2005
PROC_ALU_SHEET_IDEMAT,Aluminium sheet; production mix; at plant; primary production; aluminium semi-finished sheet product; including primary production; transformation and recycling,RawMaterialProduction,Aluminium sheets are produced from aluminium ingots called slabs (usually rectangular-shape) which are hot rolled at temperature around 400-500Â°C and,RER,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2005
PROC_STEEL_SECTIONS_ILCD,Steel sections (ILCD); production mix; at plant; blast furnace route / electric arc furnace route; 1 kg,RawMaterialProduction,This dataset includes raw material extraction (e.g. coal; iron; ore; etc.) and processing; e.g. coke making; sinter; blast furnace; basic oxygen furna,GLO,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2007
PROC_STEEL_HRC,Steel hot rolled coil; production mix; at plant; blast furnace route; thickness 2 to 7 mm; width 600 to 2100 mm,RawMaterialProduction,Raw material extraction and processing; e.g. coal; iron ore; etc.; and recycling of steel scrap; Coke making; Sinter; Blast Furnace; Basic Oxygen Furn,RER,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2000
PROC_COPPER_WIRE_CONSMIX,Copper wire; consumption mix; at plant; technology mix; cross section 1 mmy,RawMaterialProduction,Copper wire is basically made of copper cathode (virgin copper). It encompasses a few amounts of process internal scrap e.g. turnings; cuttings. The p,EU-15,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2000
PROC_COPPER_SHEET_MARKETMIX,Copper sheet; technology mix; market mix; at plant; 0;6 mm thickness; Technology and Market Mix for Sheet fabrication representing main European production countries; Market Mix for Copper cathode in Europe (primary and secondary Cu cathode production...,RawMaterialProduction,Copper sheet is basically made of copper cathode (virgin copper) and scrap from outside as well as process internal scrap e.g. turnings; cuttings. The,EU-25,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2011
PROC_COPPER_SHEET_CONSMIX,Copper sheet; consumption mix; at plant; technology mix; 0;6 mm thickness,RawMaterialProduction,Copper sheet is basically made of copper cathode (virgin copper) and scrap from outside as well as process internal scrap e.g. turnings; cuttings. The,EU-15,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2000
PROC_STEEL_REBAR,Steel rebar; production mix; at plant; blast furnace and electric arc furnace route;,RawMaterialProduction,Raw material extraction and processing; e.g. coal; iron ore; etc.; and recycling of steel scrap; Coke making; Sinter; Blast Furnace; Basic Oxygen Furn,GLO,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2000
PROC_STEEL_GALV_ILCD,Steel hot dip galvanized (ILCD); production mix; at plant; blast furnace route; 1kg; typical thickness between 0.3 - 3 mm. typical width between 600 - 2100 mm.,RawMaterialProduction,This dataset includes raw material extraction (e.g. coal; iron; ore; etc.) and processing; e.g. coke making; sinter; blast furnace; basic oxygen furna,GLO,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2007
PROC_COPPER_TUBE_MARKETMIX,Copper tube; technology mix; market mix; at plant; diameter 15 mm; 1 mm thickness; Technology and Market Mix for Tube fabrication representing main European production countries; Market Mix for Copper cathode in Europe (primary and secondary Cu cathod...,RawMaterialProduction,Copper tube is basically made of copper cathode (virgin copper) and scrap from outside as well as process internal scrap e.g. turnings; cuttings. The ,EU-25,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2011
PROC_STEEL_GALV_RECYCLED,Steel hot dip galvanized; including recycling; production mix; at plant; blast furnace route; 1kg; typical thickness between 0.3 - 3 mm. typical width between 600 - 2100 mm.,RawMaterialProduction,This dataset includes raw material extraction (e.g. coal; iron; ore; etc.); processing; e.g. coke making; sinter; blast furnace; basic oxygen furnace;,GLO,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2007
PROC_COPPER_WIRE_MARKETMIX,Copper wire; technology mix; market mix; at plant; cross section 1 mm; Technology and Market Mix for Wire fabrication representing main European production countries; Market Mix for Copper cathode in Europe (primary and secondary Cu cathode production...,RawMaterialProduction,Copper wire is basically made of copper cathode (virgin copper). It encompasses a few amounts of process internal scrap e.g. turnings; cuttings. The p,EU-25,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2011
PROC_STEEL_SECTIONS_RECYCLED,Steel sections; including recycling; production mix; at plant; blast furnace route / electric arc furnace route; 1kg,RawMaterialProduction,This dataset includes raw material extraction (e.g. coal; iron; ore; etc.); processing; e.g. coke making; sinter; blast furnace; basic oxygen furnace;,GLO,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2007
PROC_COPPER_TUBE_CONSMIX,Copper tube; consumption mix; at plant; technology mix; diameter 15 mm; 1 mm thickness,RawMaterialProduction,Copper tube is basically made of copper cathode (virgin copper). It encompasses a few amont of process internal scrap e.g. turnings; cuttings. The pro,EU-15,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2000
PROC_STEEL_HRC_RECYCLED,Steel hot rolled coil; including recycling; production mix; at plant; blast furnace route; 1kg; typical thickness between 2 - 7 mm. typical width between 600 - 2100 mm,RawMaterialProduction,This dataset includes raw material extraction (e.g. coal; iron; ore; etc.); processing; e.g. coke making; sinter; blast furnace; basic oxygen furnace;,GLO,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2007
PROC_STEEL_HRC_ILCD,Steel hot rolled coil (ILCD); production mix; at plant; blast furnace route; 1kg; typical thickness between 2 - 7 mm. typical width between 600 - 2100 mm,RawMaterialProduction,This dataset includes raw material extraction (e.g. coal; iron; ore; etc.) and processing; e.g. coke making; sinter; blast furnace; basic oxygen furna,GLO,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2007
PROC_STEEL_HR_SECTION,Steel hot rolled section; production mix; at plant; blast furnace and electric arc furnace route;,RawMaterialProduction,Raw material extraction and processing; e.g. coal; iron ore; etc.; and recycling of steel scrap; Coke making; Sinter; Blast Furnace; Basic Oxygen Furn,GLO,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2000
